split,image,area
train,augmented_20644,3648.0
train,augmented_10787,5630.577777777782
train,image_04865,224079.0
train,img_resize_1166,15.0
train,augmented_11499,31999.99999999999
train,img_resize_235,12.0
train,91eecbefd53e992eb05eb02e80b9a484,10880.0
train,19e4f6394973ecb2756fe89edecb5e2c,1680.0
train,78b5742567f70f2d60225d5207c9708b,1014.0
train,image_08087,652380.0
train,augmented_8796,1315.5555555555552
train,augmented_6963,177237.33333333334
train,ece2cedcabaec5bb566202d1d282f006,4806.0
train,augmented_12190,89652.62222222224
train,augmented_15827,473983.99999999994
train,78dc6a4eb468b57f9ba834ce16529f69,6399.0
train,1010369a46b146731e3f21493db80092,23520.0
train,image_09399,197911.0
train,augmented_9488,18278.399999999998
train,augmented_14287,420363.37777777785
train,d162ea40688ea348c06acc7528ace647,15470.0
train,148a3ab5395220320b4b3081c867cdfc,1084450.0
train,4c5fbc190bcd17083f99c93149056954,1264.0
train,image_08939,35893.0
train,img_resize_2309,836441.0
train,img_resize_3017,232212.0
train,image_06914,186030.0
train,augmented_15199,122715.02222222222
train,ce9b329df1b4a36ee8c57481286005d1,17646.0
train,augmented_16490,47581.866666666676
train,augmented_17956,33941.33333333333
train,img_resize_553,265146.0
train,img_resize_1600,649492.0
train,augmented_4812,2449.0666666666675
train,3206c27aaf711add5072133e563d004d,15272.0
train,augmented_20122,89803.37777777779
train,augmented_16484,65314.13333333334
train,img_resize_547,1266789.0
train,augmented_17942,25571.55555555555
train,19e367525eca09a88e5ba6528dfc91cd,12408.0
train,augmented_4806,74430.57777777778
train,img_resize_1614,188136.0
train,augmented_20136,1661.155555555555
train,4241eceb23559d4a2e7295c7c2d3df63,41869.0
train,image_03878,157920.0
train,augmented_14293,122020.97777777779
train,img_resize_3003,675220.0
train,image_06900,209890.0
train,3d2fc0e068be06662c6bc9082c55559e,22536.0
train,d0becf62664af2e4f24bfc06a97f06b1,43420.0
train,image_08093,958410.0
train,image_01909,241362.0
train,augmented_8782,23873.422222222223
train,augmented_6977,73363.9111111111
train,augmented_12184,366893.51111111115
train,398132f0b349024b94b12f2eb0bce737,1260.0
train,augmented_15833,9258.666666666664
train,augmented_20650,381634.84444444446
train,augmented_10793,94553.59999999999
train,image_04871,202686.0
train,ced6e801ee6f1e713e493626417a6166,1.0
train,img_resize_1172,522284.0
train,2c0b3b4832f85bbe9a89c938bf038591,1702.0
train,augmented_728,24999.822222222218
train,augmented_20888,8283.022222222222
train,img_resize_221,4.0
train,image_07388,65704.0
train,image_01921,69120.0
train,augmented_7499,34.133333333333326
train,augmented_8972,3827.200000000002
train,img_resize_2453,7.0
train,image_06096,331292.0
train,augmented_6787,378264.1777777778
train,augmented_20678,15044.266666666672
train,c7e66c6b24e7f6d4f9a21f81fa6a3d4d,8342.0
train,augmented_3827,250106.31111111114
train,ea229c41d878ed36804c8dc5dd7be38f,16472.0
train,image_04859,165336.0
train,img_resize_209,388977.0
train,e2735fee65b204598a19dbd3640aa15e,2862.0
train,augmented_700,48836.266666666656
train,0708c1cc6379620d5bb3333de23dbef1,25398.0
train,augmented_4190,194992.35555555555
train,augmented_10963,71005.86666666667
train,image_04681,187425.0
train,e21151e16127d9e7df69ae217ac0162b,19564.0
train,6634f57ffb166dad342104f88c610c80,11990.0
train,image_03688,406060.0
train,augmented_3199,213555.19999999998
train,image_02596,58710.0
train,augmented_2287,89600.00000000003
train,augmented_19947,563763.2
train,image_03850,68250.0
train,augmented_18481,668177.0666666667
train,528e909e6d93ecbfb27aca7d57f5c153,17625.0
train,augmented_12812,453917.86666666664
train,1ee846676ad2a6e63f5a9c70194ba858,1160.0
train,0aeef0891273b1499fb70507a5f1e0ce,4599.0
train,image_08905,532770.0
train,img_resize_2335,234576.0
train,image_06928,60544.0
train,image_00381,234192.0
train,augmented_1956,6766.933333333333
train,augmented_12806,30065.77777777778
train,dd6d04371f96b871c06cd704f4001e49,806.0
train,145cf8bf382a919e4503f04b53ad1ad1,1210.0
train,img_resize_2321,817834.0
train,image_08911,208705.0
train,image_00395,15691.0
train,11e6d4e39e9663109c1edc73f25cd040,2745.0
train,augmented_1942,362696.5333333334
train,87f138bbfd8f908e261ebf1644e813b9,986.0
train,35ec75695a26e7986ed5e07c763dfc88,7826.0
train,d70ce73d3d501b985cb12f2b6fb261d2,70500.0
train,68af111f5217d2e8249ec3afc9179eae,1323.0
train,image_02582,159138.0
train,8e0da19f04aff5cd1605dffebf2eb14a,8.0
train,img_resize_1628,4.0
train,augmented_19953,51967.99999999999
train,augmented_2293,79782.39999999998
train,image_03844,132396.0
train,augmented_18495,163875.55555555553
train,f182c8beb6c819716617f5a9f4bcec42,1892.0
train,augmented_3833,41646.933333333334
train,ab08d3b6e0b72f192e0f7f82a416b134,8680.0
train,c5ec10d8d17c6ad8dae32fd2a018c2bf,650.0
train,fafe23b4bdc2afbc091466a4ebb34f28,96330.0
train,augmented_714,635212.8
train,augmented_4184,12251.022222222218
train,augmented_10977,115054.93333333333
train,image_04695,180960.0
train,adc7be88b1718085dd42e0b25762d2cb,6726.0
train,5e92ba4cecc6da6c4d52f2a7bbdf70a5,3774.0
train,image_01935,498640.0
train,480b4ead2fe0431445d5ea7e52189b0b,1632.0
train,augmented_8966,15510.755555555555
train,c75dde4d8661fa3111217d0a3a356463,107061.0
train,c074bd8d7f8a902d7d69b7d071cbe856,3706.0
train,img_resize_2447,785370.0
train,a708909728733876e66fe6b7ec80f43a,4884.0
train,image_06082,447228.0
train,augmented_6793,512136.5333333333
train,image_01706,232320.0
train,augmented_1017,8191.999999999998
train,augmented_14522,101546.66666666669
train,augmented_6778,191567.64444444442
train,image_06069,532644.0
train,augmented_7466,27596.799999999996
train,d5f0eae25b52a2f61c56753fd3ea745e,4664.0
train,image_08044,331585.0
train,augmented_8755,10673.777777777777
train,image_07377,98658.0
train,image_00418,202724.0
train,augmented_12153,330114.8444444444
train,augmented_3600,15018.666666666668
train,56a93bfc7a1347bb5de869b4e4448a80,142486.0
train,image_03111,40112.0
train,b04c6eacae9fbda2ffa6847c38276fe0,826584.0
train,augmented_19006,180906.6666666667
train,26bb496ef05b8a694d24a47f1bb5faa8,3315.0
train,augmented_16335,147985.06666666665
train,5611568421aa598a85443bf6eae1d6b1,3440.0
train,augmented_18318,479232.0
train,augmented_927,17838.933333333334
train,image_05560,74661.0
train,augmented_5271,14762.666666666664
train,augmented_20687,270852.26666666666
train,augmented_10744,105813.33333333333
train,941c52340165709e39aec03ff15ffe53,9408.0
train,augmented_10022,36593.77777777778
train,augmented_2278,56169.24444444448
train,1c806eb15c29e4146e2bf395742b5567,6.0
train,image_02569,45820.0
train,4b9667510dae8edc56941b853f68a7c2,703.0
train,image_05206,361875.0
train,augmented_5517,89476.26666666666
train,image_04118,447265.0
train,augmented_19760,44973.511111111104
train,augmented_16453,94273.42222222222
train,augmented_4609,183830.75555555554
train,augmented_3166,136226.13333333333
train,augmented_17995,390101.3333333334
train,image_03677,289060.0
train,img_resize_590,40.0
train,35b2703182cb40aa7aeaae0e36bab84d,9750.0
train,fbfcdd2eb1a68b4e64279953ebb5ad10,377638.0
train,augmented_12635,230580.62222222224
train,d4775720373396fc1fa477e789ab868c,485528.0
train,image_08722,105952.0
train,augmented_7300,177237.33333333334
train,image_07411,437080.0
train,augmented_8033,353126.39999999997
train,augmented_14244,208115.19999999998
train,4fd8a02f6c5c02811f3c2b4be6fe93f9,15873.0
train,dbfa8d7b552e109e91af9cf9f401b8cd,870.0
train,9d3dc0e19165c608b16b7011acd5cdca,72420.0
train,image_01060,374749.0
train,augmented_1771,9727.999999999996
train,augmented_12621,22.755555555555475
train,augmented_7314,188659.2
train,image_08736,370986.0
train,augmented_8027,407756.8
train,image_07405,475200.0
train,image_09428,802802.0
train,augmented_14250,187.73333333333392
train,augmented_9339,57453.51111111111
train,4c564d14893b4fbcc9061db2cc575351,7918.0
train,497521289d0129ce4e56553f65821119,10207.0
train,62a8f6334920d2f2fd1fc81caa0db7a4,35098.0
train,image_01074,35811.0
train,augmented_1765,98403.55555555555
train,a27fa898d1ff77dc470693832e58a054,34608.0
train,dd883a2c591c145bc9235706d2799121,49.0
train,augmented_10036,76608.0
train,8db1929bbb86b25524475aeda2adb54c,90.0
train,6cd552e0d3e781a17f19c5f3c5e83c65,27242.0
train,15cf788528e20d9b41331e2487007cc0,20925.0
train,d8f91bae0a7ca6f7eb802cbb970b01f3,2403.0
train,image_05212,332920.0
train,79ff5baf2a9ee83794408f8247ae6c79,1450.0
train,augmented_17759,361267.2
train,augmented_5503,277691.73333333334
train,augmented_19774,378985.2444444445
train,augmented_16447,20505.599999999988
train,augmented_11328,105665.42222222223
train,augmented_3172,21120.000000000007
train,img_resize_584,142002.0
train,augmented_17981,285969.06666666665
train,image_03663,50886.0
train,60db78b84b79f62afeb508c7cfcafde9,2352.0
train,augmented_3614,142489.6
train,image_03105,214248.0
train,augmented_19012,88265.95555555556
train,augmented_10988,155022.22222222222
train,f01c056fd37fb4528eea281e5ca31f5d,3536.0
train,augmented_16321,67993.59999999999
train,831b2f0960371cbe7557cad2b90b5980,71346.0
train,image_05574,530426.0
train,augmented_933,385655.4666666667
train,3f022a72c667a6774607439bcd8def74,24924.0
train,augmented_20693,26252.8
train,augmented_5265,114461.86666666667
train,augmented_10750,412346.31111111114
train,image_01712,199520.0
train,92b913ce0cc5f4be6ec8f7973ad36b61,1045.0
train,72c9f98eacc8138fcf4de5bd875684e0,6162.0
train,augmented_8999,10752.0
train,augmented_13259,7775.288888888886
train,augmented_1003,12451.55555555556
train,e17bb5129c50cd61eb47b04626aa3259,1785.0
